Protein,Order,SampleName,LabRep,LabBlock,MaltPlant,MaltRep,MaltTime,malttime,abundance,abundance.sc,abundance.scOut
HORVU0Hr1G004150.1,3,aBP11,2,1,2,1,133.5,133.5,11830.48072,11.83048072,11.83048072
HORVU0Hr1G004480.4,3,aBP11,2,1,2,1,133.5,133.5,41415.39458,41.41539458,41.41539458
HORVU0Hr1G016380.4,3,aBP11,2,1,2,1,133.5,133.5,46574.389,46.574389,46.574389
HORVU0Hr1G017220.3,3,aBP11,2,1,2,1,133.5,133.5,38851.40313,38.85140313,38.85140313
HORVU0Hr1G018510.4,3,aBP11,2,1,2,1,133.5,133.5,9963.625509,9.963625509,9.963625509
HORVU0Hr1G019950.2,3,aBP11,2,1,2,1,133.5,133.5,197358.5021,197.3585021,197.3585021
HORVU0Hr1G022810.9,3,aBP11,2,1,2,1,133.5,133.5,211005.3826,211.0053826,211.0053826
HORVU0Hr1G027030.1,3,aBP11,2,1,2,1,133.5,133.5,17853.52387,17.85352387,17.85352387
HORVU0Hr1G040240.1,3,aBP11,2,1,2,1,133.5,133.5,26010.46117,26.01046117,26.01046117
HORVU1Hr1G000080.2,3,aBP11,2,1,2,1,133.5,133.5,2114.965321,2.114965321,2.114965321
HORVU1Hr1G000440.6,3,aBP11,2,1,2,1,133.5,133.5,3317.377265,3.317377265,3.317377265
HORVU1Hr1G000640.1,3,aBP11,2,1,2,1,133.5,133.5,57039.62889,57.03962889,57.03962889
HORVU1Hr1G000680.1,3,aBP11,2,1,2,1,133.5,133.5,107581.1,107.5811,107.5811
HORVU1Hr1G000700.1,3,aBP11,2,1,2,1,133.5,133.5,239798.8335,239.7988335,239.7988335
HORVU1Hr1G000710.4,3,aBP11,2,1,2,1,133.5,133.5,7873.837765,7.873837765,7.873837765
HORVU1Hr1G001020.1,3,aBP11,2,1,2,1,133.5,133.5,1592286.808,1592.286808,1592.286808
HORVU1Hr1G001120.1,3,aBP11,2,1,2,1,133.5,133.5,280432.505,280.432505,280.432505
HORVU1Hr1G001140.1,3,aBP11,2,1,2,1,133.5,133.5,98252.39151,98.25239151,98.25239151
HORVU1Hr1G001350.1,3,aBP11,2,1,2,1,133.5,133.5,2001.822191,2.001822191,2.001822191
HORVU1Hr1G001420.1,3,aBP11,2,1,2,1,133.5,133.5,37777.69825,37.77769825,37.77769825
HORVU1Hr1G002170.2,3,aBP11,2,1,2,1,133.5,133.5,9461.912491,9.461912491,9.461912491
HORVU1Hr1G005030.1,3,aBP11,2,1,2,1,133.5,133.5,10096.40796,10.09640796,10.09640796
HORVU1Hr1G005150.1,3,aBP11,2,1,2,1,133.5,133.5,63366.05669,63.36605669,63.36605669
HORVU1Hr1G006860.8,3,aBP11,2,1,2,1,133.5,133.5,46510.30451,46.51030451,46.51030451
HORVU1Hr1G008120.1,3,aBP11,2,1,2,1,133.5,133.5,309845.4467,309.8454467,309.8454467
HORVU1Hr1G008130.1,3,aBP11,2,1,2,1,133.5,133.5,17842.05437,17.84205437,17.84205437
HORVU1Hr1G012090.2,3,aBP11,2,1,2,1,133.5,133.5,33580.63029,33.58063029,33.58063029
HORVU1Hr1G012130.1,3,aBP11,2,1,2,1,133.5,133.5,123170.0563,123.1700563,123.1700563
HORVU1Hr1G012170.1,3,aBP11,2,1,2,1,133.5,133.5,2477.135222,2.477135222,2.477135222
HORVU1Hr1G012960.1,3,aBP11,2,1,2,1,133.5,133.5,157187.2776,157.1872776,157.1872776
HORVU1Hr1G013690.1,3,aBP11,2,1,2,1,133.5,133.5,117487.0304,117.4870304,117.4870304
HORVU1Hr1G015590.1,3,aBP11,2,1,2,1,133.5,133.5,10396.47636,10.39647636,10.39647636
HORVU1Hr1G017050.4,3,aBP11,2,1,2,1,133.5,133.5,35295.99074,35.29599074,35.29599074
HORVU1Hr1G018140.5,3,aBP11,2,1,2,1,133.5,133.5,541562.0363,541.5620363,541.5620363
HORVU1Hr1G018540.14,3,aBP11,2,1,2,1,133.5,133.5,78004.16525,78.00416525,78.00416525
HORVU1Hr1G018710.3,3,aBP11,2,1,2,1,133.5,133.5,81486.42703,81.48642703,81.48642703
HORVU1Hr1G021720.4,3,aBP11,2,1,2,1,133.5,133.5,146955.4088,146.9554088,146.9554088
HORVU1Hr1G022570.1,3,aBP11,2,1,2,1,133.5,133.5,65548.60838,65.54860838,65.54860838
HORVU1Hr1G022810.2,3,aBP11,2,1,2,1,133.5,133.5,22930.50228,22.93050228,22.93050228
HORVU1Hr1G023100.2,3,aBP11,2,1,2,1,133.5,133.5,8150.145047,8.150145047,8.150145047
HORVU1Hr1G023260.2,3,aBP11,2,1,2,1,133.5,133.5,23462.0612,23.4620612,23.4620612
HORVU1Hr1G023630.3,3,aBP11,2,1,2,1,133.5,133.5,1929.081405,1.929081405,1.929081405
HORVU1Hr1G024710.5,3,aBP11,2,1,2,1,133.5,133.5,28821.83842,28.82183842,28.82183842
HORVU1Hr1G028820.6,3,aBP11,2,1,2,1,133.5,133.5,73880.73688,73.88073688,73.88073688
HORVU1Hr1G029870.1,3,aBP11,2,1,2,1,133.5,133.5,6074.894162,6.074894162,6.074894162
HORVU1Hr1G030790.5,3,aBP11,2,1,2,1,133.5,133.5,26402.65411,26.40265411,26.40265411
HORVU1Hr1G038890.1,3,aBP11,2,1,2,1,133.5,133.5,45334.81501,45.33481501,45.33481501
HORVU1Hr1G040140.1,3,aBP11,2,1,2,1,133.5,133.5,66809.63248,66.80963248,66.80963248
HORVU1Hr1G041250.5,3,aBP11,2,1,2,1,133.5,133.5,236878.9728,236.8789728,236.8789728
HORVU1Hr1G042050.1,3,aBP11,2,1,2,1,133.5,133.5,1754.705796,1.754705796,1.754705796
HORVU1Hr1G042220.1,3,aBP11,2,1,2,1,133.5,133.5,41542.66764,41.54266764,41.54266764
HORVU1Hr1G044000.1,3,aBP11,2,1,2,1,133.5,133.5,19179.64016,19.17964016,19.17964016
HORVU1Hr1G046400.1,3,aBP11,2,1,2,1,133.5,133.5,2723.109826,2.723109826,2.723109826
HORVU1Hr1G052030.2,3,aBP11,2,1,2,1,133.5,133.5,254722.5324,254.7225324,254.7225324
HORVU1Hr1G052430.3,3,aBP11,2,1,2,1,133.5,133.5,33538.04631,33.53804631,33.53804631
HORVU1Hr1G055440.2,3,aBP11,2,1,2,1,133.5,133.5,268315.9909,268.3159909,268.3159909
HORVU1Hr1G055860.3,3,aBP11,2,1,2,1,133.5,133.5,27410.33169,27.41033169,27.41033169
